[2020-11-27T03:02:46.251779+00:00] log.DEBUG: SELECT `Per_Position_id` AS `lf`, `Per_Position_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_position` [] []
[2020-11-27T03:02:46.333339+00:00] log.DEBUG: SELECT `Per_Nationality_id` AS `lf`, `Per_Nationality_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_nationality` [] []
[2020-11-27T03:02:46.415426+00:00] log.DEBUG: SELECT `Per_Religion_id` AS `lf`, `Per_Religion_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_religion` [] []
[2020-11-27T03:03:34.518164+00:00] log.DEBUG: SELECT `Per_Type_id` AS `lf`, `Per_Type_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_type` [] []
[2020-11-27T03:03:34.597237+00:00] log.DEBUG: SELECT `Per_EmployeeType_id` AS `lf`, `Per_EmployeeType_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_employeetype` [] []
[2020-11-27T03:03:34.669286+00:00] log.DEBUG: SELECT `Per_Position_id` AS `lf`, `Per_Position_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_position` [] []
[2020-11-27T03:03:34.772560+00:00] log.DEBUG: SELECT `Per_Academic_id` AS `lf`, `Per_Academic_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_academic` [] []
[2020-11-27T03:03:34.891833+00:00] log.DEBUG: SELECT `Per_WorkStatus_id` AS `lf`, `Per_WorkStatus_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_workstatus` [] []
[2020-11-27T03:03:34.981233+00:00] log.DEBUG: SELECT `Per_Administrative_id` AS `lf`, `Per_Administrative_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_administrative` [] []
[2020-11-27T03:03:35.064976+00:00] log.DEBUG: SELECT `Per_Nationality_id` AS `lf`, `Per_Nationality_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_nationality` [] []
[2020-11-27T03:03:35.148469+00:00] log.DEBUG: SELECT `Per_Religion_id` AS `lf`, `Per_Religion_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_religion` [] []
[2020-11-27T03:06:29.336640+00:00] log.DEBUG: SELECT `Per_Type_id` AS `lf`, `Per_Type_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_type` [] []
[2020-11-27T03:06:29.445755+00:00] log.DEBUG: SELECT `Per_EmployeeType_id` AS `lf`, `Per_EmployeeType_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_employeetype` [] []
[2020-11-27T03:06:29.572140+00:00] log.DEBUG: SELECT `Per_Position_id` AS `lf`, `Per_Position_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_position` [] []
[2020-11-27T03:06:29.664821+00:00] log.DEBUG: SELECT `Per_Administrative_id` AS `lf`, `Per_Administrative_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_administrative` [] []
[2020-11-27T03:06:29.757078+00:00] log.DEBUG: SELECT `Per_WorkStatus_id` AS `lf`, `Per_WorkStatus_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_workstatus` [] []
[2020-11-27T03:06:29.842374+00:00] log.DEBUG: SELECT `Per_Academic_id` AS `lf`, `Per_Academic_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_academic` [] []
[2020-11-27T03:06:29.912058+00:00] log.DEBUG: SELECT `Per_Nationality_id` AS `lf`, `Per_Nationality_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_nationality` [] []
[2020-11-27T03:06:30.002149+00:00] log.DEBUG: SELECT `Per_Religion_id` AS `lf`, `Per_Religion_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_religion` [] []
[2020-11-27T03:07:03.174416+00:00] log.DEBUG: SELECT `Per_Type_id` AS `lf`, `Per_Type_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_type` [] []
[2020-11-27T03:07:03.269211+00:00] log.DEBUG: SELECT `Per_EmployeeType_id` AS `lf`, `Per_EmployeeType_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_employeetype` [] []
[2020-11-27T03:07:03.337183+00:00] log.DEBUG: SELECT `Per_Position_id` AS `lf`, `Per_Position_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_position` [] []
[2020-11-27T03:07:03.407458+00:00] log.DEBUG: SELECT `Per_Academic_id` AS `lf`, `Per_Academic_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_academic` [] []
[2020-11-27T03:07:03.485567+00:00] log.DEBUG: SELECT `Per_Administrative_id` AS `lf`, `Per_Administrative_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_administrative` [] []
[2020-11-27T03:07:03.552066+00:00] log.DEBUG: SELECT `Per_WorkStatus_id` AS `lf`, `Per_WorkStatus_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_workstatus` [] []
[2020-11-27T03:07:03.681165+00:00] log.DEBUG: SELECT `Per_Nationality_id` AS `lf`, `Per_Nationality_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_nationality` [] []
[2020-11-27T03:07:03.803778+00:00] log.DEBUG: SELECT `Per_Religion_id` AS `lf`, `Per_Religion_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_religion` [] []
[2020-11-27T03:13:21.031256+00:00] log.DEBUG: SELECT `Per_Id` AS `lf`, `Per_Id` AS `df`, `Per_ThaiName` AS `df2`, `Per_ThaiLastName` AS `df3`, '' AS `df4` FROM `01-personnel` [] []
[2020-11-27T03:16:14.693404+00:00] log.DEBUG: SELECT `Per_Id` AS `lf`, `Per_Id` AS `df`, `Per_ThaiName` AS `df2`, `Per_ThaiLastName` AS `df3`, '' AS `df4` FROM `01-personnel` [] []
[2020-11-27T03:16:24.900320+00:00] log.DEBUG: SELECT `Per_Type_id` AS `lf`, `Per_Type_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_type` [] []
[2020-11-27T03:16:25.060400+00:00] log.DEBUG: SELECT `Per_EmployeeType_id` AS `lf`, `Per_EmployeeType_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_employeetype` [] []
[2020-11-27T03:16:25.160280+00:00] log.DEBUG: SELECT `Per_Position_id` AS `lf`, `Per_Position_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_position` [] []
[2020-11-27T03:16:25.234445+00:00] log.DEBUG: SELECT `Per_Administrative_id` AS `lf`, `Per_Administrative_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_administrative` [] []
